Test	Animal	Treatment	Code	Stage	Trial	Apparatus	Segment of test	Duration	Distance	Mean speed	Line crossings	Max speed	A : entries	A : time	A : distance	A : average speed	A : mean visit	A : mean distance to border	A : time getting closer to zone	A : time getting further from zone	B : entries	B : time	B : distance	B : average speed	B : mean visit	B : mean distance to border	B : time getting closer to zone	B : time getting further from zone	C : entries	C : time	C : distance	C : average speed	C : mean visit	C : mean distance to border	C : time getting closer to zone	C : time getting further from zone	A0 : entries	A0 : time	A0 : mean distance to border	A0 : time getting closer to zone	A0 : time getting further from zone	Center : entries	Center : time	Center : time getting closer to zone	Center : time getting further from zone	Group
4	4	A	A	First stage	1	Y Maze Wolff	265 - 266 secs.	1.0	0.188	0.188	2	0.345	0	0.4	0.135	0.183	0.4	0.025	0.0	0.5	1	0.1	0.000	0.307	0.1	0.002	0.8	0.0	0	0.0	0.000				0.6	0.4	0	0.0		0.0	0.9	1	0.5	0.3	0.0	Sham
4	4	A	A	First stage	1	Y Maze Wolff	266 - 267 secs.	1.0	0.048	0.048	0	0.116	0	0.0	0.000				0.4	0.6	0	1.0	0.048	0.049	1.0	0.021	0.0	0.0	0	0.0	0.000				0.5	0.5	0	0.0		0.4	0.6	0	0.0	0.6	0.4	Sham
4	4	A	A	First stage	1	Y Maze Wolff	267 - 268 secs.	1.0	0.000	0.000	0	0.032	0	0.0	0.000				0.8	0.1	0	1.0	0.000	0.000	1.0	0.014	0.0	0.0	0	0.0	0.000				0.4	0.5	0	0.0		0.8	0.1	0	0.0	0.7	0.2	Sham
4	4	A	A	First stage	1	Y Maze Wolff	268 - 269 secs.	1.0	0.047	0.047	0	0.151	0	0.0	0.000				0.0	1.0	0	1.0	0.047	0.096	1.0	0.023	0.0	0.0	0	0.0	0.000				0.1	0.9	0	0.0		0.0	1.0	0	0.0	0.0	1.0	Sham
4	4	A	A	First stage	1	Y Maze Wolff	269 - 270 secs.	1.0	0.156	0.156	0	0.222	0	0.0	0.000				0.2	0.7	0	1.0	0.156	0.155	1.0	0.039	0.0	0.0	0	0.0	0.000				0.2	0.7	0	0.0		0.1	0.8	0	0.0	0.2	0.7	Sham
4	4	A	A	First stage	1	Y Maze Wolff	270 - 271 secs.	1.0	0.025	0.025	0	0.059	0	0.0	0.000				0.3	0.4	0	1.0	0.025	0.031	1.0	0.032	0.0	0.0	0	0.0	0.000				0.3	0.4	0	0.0		0.5	0.3	0	0.0	0.3	0.4	Sham
4	4	A	A	First stage	1	Y Maze Wolff	271 - 272 secs.	1.0	0.042	0.042	0	0.132	0	0.0	0.000				0.3	0.7	0	1.0	0.042	0.058	1.0	0.029	0.0	0.0	0	0.0	0.000				0.3	0.7	0	0.0		0.1	0.8	0	0.0	0.3	0.7	Sham
4	4	A	A	First stage	1	Y Maze Wolff	272 - 273 secs.	1.0	0.027	0.027	0	0.057	0	0.0	0.000				0.2	0.6	0	1.0	0.027	0.024	1.0	0.023	0.0	0.0	0	0.0	0.000				0.2	0.6	0	0.0		0.2	0.6	0	0.0	0.2	0.6	Sham
4	4	A	A	First stage	1	Y Maze Wolff	273 - 274 secs.	1.0	0.000	0.000	0	0.043	0	0.0	0.000				0.7	0.1	0	1.0	0.000	0.045	1.0	0.037	0.0	0.0	0	0.0	0.000				0.7	0.1	0	0.0		0.4	0.4	0	0.0	0.7	0.1	Sham
4	4	A	A	First stage	1	Y Maze Wolff	274 - 275 secs.	1.0	0.000	0.000	0	0.038	0	0.0	0.000				0.2	0.8	0	1.0	0.000	0.054	1.0	0.030	0.0	0.0	0	0.0	0.000				0.2	0.8	0	0.0		0.4	0.6	0	0.0	0.2	0.8	Sham
4	4	A	A	First stage	1	Y Maze Wolff	275 - 276 secs.	1.0	0.024	0.024	0	0.036	0	0.0	0.000				0.4	0.5	0	1.0	0.024	0.027	1.0	0.026	0.0	0.0	0	0.0	0.000				0.4	0.5	0	0.0		0.1	0.8	0	0.0	0.4	0.5	Sham
4	4	A	A	First stage	1	Y Maze Wolff	276 - 277 secs.	1.0	0.000	0.000	0	0.051	0	0.0	0.000				0.6	0.2	0	1.0	0.000	0.029	1.0	0.037	0.0	0.0	0	0.0	0.000				0.6	0.2	0	0.0		0.6	0.2	0	0.0	0.6	0.2	Sham
4	4	A	A	First stage	1	Y Maze Wolff	277 - 278 secs.	1.0	0.000	0.000	0	0.033	0	0.0	0.000				0.0	0.8	0	1.0	0.000	0.000	1.0	0.041	0.0	0.0	0	0.0	0.000				0.0	0.8	0	0.0		0.0	0.8	0	0.0	0.0	0.8	Sham
4	4	A	A	First stage	1	Y Maze Wolff	278 - 279 secs.	1.0	0.000	0.000	0	0.057	0	0.0	0.000				0.4	0.2	0	1.0	0.000	0.064	1.0	0.035	0.0	0.0	0	0.0	0.000				0.4	0.2	0	0.0		0.4	0.2	0	0.0	0.4	0.2	Sham
4	4	A	A	First stage	1	Y Maze Wolff	279 - 280 secs.	1.0	0.023	0.023	0	0.045	0	0.0	0.000				0.7	0.2	0	1.0	0.023	0.046	1.0	0.042	0.0	0.0	0	0.0	0.000				0.7	0.2	0	0.0		0.6	0.4	0	0.0	0.7	0.2	Sham
4	4	A	A	First stage	1	Y Maze Wolff	280 - 281 secs.	1.0	0.028	0.028	0	0.054	0	0.0	0.000				0.5	0.4	0	1.0	0.028	0.031	1.0	0.040	0.0	0.0	0	0.0	0.000				0.5	0.4	0	0.0		0.5	0.4	0	0.0	0.5	0.4	Sham
4	4	A	A	First stage	1	Y Maze Wolff	281 - 282 secs.	1.0	0.024	0.024	0	0.049	0	0.0	0.000				0.0	0.8	0	1.0	0.024	0.058	1.0	0.033	0.0	0.0	0	0.0	0.000				0.0	0.8	0	0.0		0.2	0.6	0	0.0	0.0	0.8	Sham
4	4	A	A	First stage	1	Y Maze Wolff	282 - 283 secs.	1.0	0.025	0.025	0	0.056	0	0.0	0.000				0.3	0.5	0	1.0	0.025	0.029	1.0	0.025	0.0	0.0	0	0.0	0.000				0.3	0.5	0	0.0		0.3	0.5	0	0.0	0.3	0.5	Sham
