Day	Date	Time	201808 reversal1-25:Irrad	201808 reversal1-26:Sham	201808 reversal1-28:Irrad	201809 reversal-13:Sham	201809 reversal-14:Irrad	201809 reversal-15:Irrad	201809 reversal-16:Sham	201810 reversal-17:Sham	201810 reversal-18:Irrad	201810 reversal-20:Sham	201811 reversal1-17:Irrad	201811 reversal1-18:Sham	201811 reversal1-20:Irrad	201811 reversal2-21:Irrad	201811 reversal2-22:Sham	201811 reversal2-23:Sham	201811 reversal2-24:Irrad	201812 reversal-1:Sham	201812 reversal-2:Irrad	201812 reversal-3:Sham	201812 reversal-4:Irrad
-3	1950-05-29	09:07	nan	nan	nan	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	141.973	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
-3	1950-05-29	09:08	nan	nan	nan	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	42.775	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
-3	1950-05-29	09:09	nan	nan	nan	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	72.530	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
-3	1950-05-29	09:10	nan	nan	nan	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	98.407	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
-3	1950-05-29	09:11	nan	nan	nan	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	141.494	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
-3	1950-05-29	09:12	nan	nan	nan	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	79.157	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
-3	1950-05-29	09:13	nan	nan	nan	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	123.790	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
-3	1950-05-29	09:14	nan	nan	nan	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	89.401	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
-3	1950-05-29	09:15	nan	nan	nan	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	3.458	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
-3	1950-05-29	09:16	nan	nan	nan	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	134.719	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
-3	1950-05-29	09:17	nan	nan	nan	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
