,Activity Wheel Software from Lafayette Instrument Company.
,Version 11.16.5338.19188
,Experiment Setup:
,Connected Hardware:
,,USB Interface REV 1 [1-FTDH63QW]
,,USB Interface REV 2 [2-FTV64L2L]
,     Experiment Name: 3-31-17_SR_OF
,     Experiment Length: 6 Days
,     Download Interval(Active Cycle): 1 Minute
,     Date Format: M/d/yyyy
,     Time Format: H:mm:ss
,     Start Time: 3/31/2017 12:59:28
,     Stop Time: ~4/6/2017 12:59:28


Interface/Port, 1-1, 2-1, 2-2, 2-3, 2-4, 2-5, 2-6, 2-7, 2-8, 2-9, 2-10, 2-11, 2-12, 2-13, 2-14, 2-15,
Counter/Animal ID, , , , , , , , , , , , , , , , ,
Cage Type,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,



Interval Count,0.00,53.12,0.00,11.72,1.18,0.00,24.03,0.00,0.00,0.00,1.92,6.79,0.12,9.17,51.11,0.17,
Average m/min.,0.00,21.24,0.00,4.69,0.48,0.00,9.60,0.00,0.00,0.00,0.77,2.72,0.04,3.67,20.43,0.07,
Distance,28.83,389.80,173.92,341.28,103.62,40.17,122.33,247.36,11.97,6.87,56.70,79.76,24.36,52.17,220.08,246.93,
Total Counts,72.07,974.50,434.79,853.21,259.04,100.42,305.82,618.41,29.92,17.18,141.75,199.39,60.91,130.42,550.21,617.32,


 13:28:59
Interval Count,0.00,17.61,0.00,61.64,24.03,0.00,25.75,0.00,0.00,0.00,0.00,7.04,0.00,28.61,62.05,28.71,
Average m/min.,0.00,7.04,0.00,24.66,9.61,0.00,10.29,0.00,0.00,0.00,0.00,2.81,0.00,11.44,24.83,11.48,
Distance,28.83,396.84,173.92,365.94,113.23,40.17,132.63,247.36,11.97,6.87,56.70,82.57,24.36,63.61,244.91,258.41,
Total Counts,72.07,992.11,434.79,914.86,283.07,100.42,331.57,618.41,29.92,17.18,141.75,206.43,60.91,159.03,612.26,646.03,


 13:29:59
Interval Count,0.00,4.25,0.00,56.39,7.25,0.00,9.58,0.00,0.03,0.03,0.00,0.95,0.01,21.78,50.99,13.82,
Average m/min.,0.00,1.70,0.00,22.56,2.90,0.00,3.83,0.00,0.01,0.01,0.00,0.38,0.01,8.71,20.39,5.53,
Distance,28.83,398.54,173.92,388.50,116.13,40.17,136.46,247.36,11.98,6.88,56.70,82.95,24.37,72.32,265.30,263.94,
Total Counts,72.07,996.36,434.79,971.25,290.32,100.42,341.14,618.41,29.95,17.21,141.75,207.38,60.92,180.80,663.25,659.84,


 13:30:59
Interval Count,0.00,13.46,0.00,62.46,1.08,0.00,0.00,0.00,0.00,0.00,0.21,0.03,0.00,0.00,15.96,27.82,
Average m/min.,0.00,5.39,0.00,24.96,0.43,0.00,0.00,0.00,0.00,0.00,0.08,0.01,0.00,0.00,6.38,11.11,
Distance,28.83,403.93,173.92,413.48,116.56,40.17,136.46,247.36,11.98,6.88,56.78,82.96,24.37,72.32,271.68,275.06,
Total Counts,72.07,1009.82,434.79,1033.71,291.39,100.42,341.14,618.41,29.95,17.21,141.96,207.41,60.92,180.80,679.21,687.66,


 13:31:59
Interval Count,0.00,41.42,1.83,72.28,2.00,0.00,0.00,0.00,0.00,0.00,1.50,0.00,0.00,0.66,2.03,17.25,
Average m/min.,0.00,16.56,0.73,28.92,0.80,0.00,0.00,0.00,0.00,0.00,0.60,0.00,0.00,0.26,0.81,6.90,
