,Activity Wheel Software from Lafayette Instrument Company.
,Version 11.16.5338.19188
,Experiment Setup:
,Connected Hardware:
,,USB Interface REV 1 [1-FTDH63QW]
,,USB Interface REV 2 [2-FTV64L2L]
,     Experiment Name: Wolff_OF_3-13-17
,     Experiment Length: 10 Days
,     Download Interval(Active Cycle): 1 Minute
,     Date Format: M/d/yyyy
,     Time Format: H:mm:ss
,     Start Time: 3/22/2017 17:19:43
,     Stop Time: ~4/1/2017 17:19:43


Interface/Port, 1-1, 2-1, 2-2, 2-3, 2-4, 2-5, 2-6, 2-7, 2-8, 2-9, 2-10, 2-11, 2-12, 2-13, 2-14, 2-15,
Counter/Animal ID, , , , , , , , , , , , , , , , ,
Cage Type,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,



Total Counts,142.54,170.62,55.16,450.75,133.58,48.92,0.05,289.83,29.71,32.66,55.78,119.66,31.87,89.79,118.08,233.51,


 17:42:14
Interval Count,0.00,0.00,0.00,0.45,0.11,0.00,0.00,25.45,0.29,3.67,0.24,11.87,0.00,0.14,25.37,0.01,
Average m/min.,0.00,0.00,0.00,0.18,0.04,0.00,0.00,10.17,0.12,1.47,0.10,4.75,0.00,0.05,10.14,0.00,
Distance,57.02,68.25,22.06,180.48,53.47,19.57,0.02,126.11,12.00,14.53,22.41,52.61,12.75,35.97,57.38,93.41,
Total Counts,142.54,170.62,55.16,451.20,133.68,48.92,0.05,315.28,30.00,36.33,56.01,131.53,31.87,89.93,143.45,233.53,


 17:43:14
Interval Count,0.00,0.00,0.00,33.67,36.99,0.00,0.00,37.50,0.04,0.49,0.00,3.76,0.00,0.45,0.00,0.12,
Average m/min.,0.00,0.00,0.00,13.48,14.81,0.00,0.00,15.00,0.02,0.20,0.00,1.51,0.00,0.18,0.00,0.05,
Distance,57.02,68.25,22.06,193.95,68.27,19.57,0.02,141.11,12.02,14.73,22.41,54.12,12.75,36.15,57.38,93.46,
Total Counts,142.54,170.62,55.16,484.87,170.67,48.92,0.05,352.78,30.04,36.82,56.01,135.29,31.87,90.38,143.45,233.64,


 17:44:14
Interval Count,0.00,0.00,0.00,52.25,39.04,0.00,0.00,11.22,0.00,4.04,0.00,2.11,0.00,1.01,0.01,25.47,
Average m/min.,0.00,0.00,0.00,20.88,15.60,0.00,0.00,4.49,0.00,1.61,0.00,0.84,0.00,0.41,0.00,10.18,
Distance,57.02,68.25,22.06,214.85,83.88,19.57,0.02,145.60,12.02,16.34,22.41,54.96,12.75,36.56,57.38,103.65,
Total Counts,142.54,170.62,55.16,537.12,209.71,48.92,0.05,364.00,30.04,40.86,56.01,137.39,31.87,91.39,143.46,259.12,


 17:45:14
